Epoch: [1][350/360]	Time 0.157 (0.156)	Data 0.015 (0.016)	Loss 4.8276 (36.7908)	Count-loss 0.4760 (2.4972)	
Epoch: [1][355/360]	Time 0.156 (0.156)	Data 0.015 (0.016)	Loss 11.9149 (36.6026)	Count-loss 0.4246 (2.4713)	
Epoch: [2][0/360]	Time 0.118 (0.118)	Data 0.015 (0.015)	Loss 27.1021 (27.1021)	Count-loss 0.3906 (0.3906)	
Epoch: [2][5/360]	Time 0.156 (0.174)	Data 0.018 (0.048)	Loss 17.7152 (14.9740)	Count-loss 0.1509 (0.6618)	
Epoch: [2][10/360]	Time 0.156 (0.166)	Data 0.015 (0.033)	Loss 6.7165 (24.5946)	Count-loss 8.7724 (1.8795)	
Epoch: [2][15/360]	Time 0.156 (0.163)	Data 0.015 (0.028)	Loss 15.5904 (27.3035)	Count-loss 0.0567 (1.5902)	
Epoch: [2][20/360]	Time 0.156 (0.161)	Data 0.016 (0.025)	Loss 19.4063 (27.0436)	Count-loss 0.1047 (2.9918)	
Epoch: [2][25/360]	Time 0.156 (0.160)	Data 0.017 (0.023)	Loss 27.1061 (26.4384)	Count-loss 0.5253 (2.5656)	
Epoch: [2][30/360]	Time 0.156 (0.160)	Data 0.017 (0.022)	Loss 12.1510 (26.3371)	Count-loss 28.5851 (3.1078)	
Epoch: [2][35/360]	Time 0.156 (0.159)	Data 0.016 (0.021)	Loss 13.2398 (25.5058)	Count-loss 1.5892 (2.7931)	
Epoch: [2][40/360]	Time 0.156 (0.159)	Data 0.015 (0.021)	Loss 35.6838 (26.9616)	Count-loss 0.0192 (2.5273)	
Epoch: [2][45/360]	Time 0.156 (0.158)	Data 0.016 (0.020)	Loss 12.0819 (25.3123)	Count-loss 0.7140 (2.4922)	
Epoch: [2][50/360]	Time 0.156 (0.158)	Data 0.015 (0.020)	Loss 33.2433 (25.2089)	Count-loss 0.3043 (2.2858)	
Epoch: [2][55/360]	Time 0.156 (0.158)	Data 0.016 (0.019)	Loss 17.3374 (24.4770)	Count-loss 1.6876 (2.1419)	
Epoch: [2][60/360]	Time 0.156 (0.158)	Data 0.016 (0.019)	Loss 11.9574 (24.1412)	Count-loss 5.2848 (2.0708)	
Epoch: [2][65/360]	Time 0.156 (0.158)	Data 0.016 (0.019)	Loss 8.4257 (23.3197)	Count-loss 0.5103 (2.0379)	
Epoch: [2][70/360]	Time 0.156 (0.158)	Data 0.016 (0.018)	Loss 5.7238 (23.3194)	Count-loss 0.0351 (2.0928)	
Epoch: [2][75/360]	Time 0.156 (0.157)	Data 0.016 (0.018)	Loss 6.9168 (22.8561)	Count-loss 0.3362 (2.1713)	
Epoch: [2][80/360]	Time 0.156 (0.157)	Data 0.016 (0.018)	Loss 11.9866 (22.5182)	Count-loss 0.1946 (2.1176)	
Epoch: [2][85/360]	Time 0.156 (0.157)	Data 0.015 (0.018)	Loss 54.8686 (23.3996)	Count-loss 0.0104 (2.0402)	
Epoch: [2][90/360]	Time 0.156 (0.157)	Data 0.015 (0.018)	Loss 20.0104 (24.5828)	Count-loss 0.0034 (1.9350)	
Epoch: [2][95/360]	Time 0.156 (0.157)	Data 0.015 (0.018)	Loss 5.8747 (24.4853)	Count-loss 0.2092 (1.8449)	
Epoch: [2][100/360]	Time 0.156 (0.157)	Data 0.015 (0.018)	Loss 15.1947 (25.6867)	Count-loss 0.3054 (1.7743)	
Epoch: [2][105/360]	Time 0.156 (0.157)	Data 0.015 (0.017)	Loss 12.4331 (29.4192)	Count-loss 0.0807 (1.7105)	
Epoch: [2][110/360]	Time 0.156 (0.157)	Data 0.016 (0.017)	Loss 61.0702 (29.3002)	Count-loss 0.0269 (1.6427)	
Epoch: [2][115/360]	Time 0.156 (0.157)	Data 0.016 (0.017)	Loss 7.9044 (28.4315)	Count-loss 1.8167 (1.7808)	
Epoch: [2][120/360]	Time 0.156 (0.157)	Data 0.015 (0.017)	Loss 10.0522 (27.9816)	Count-loss 4.4268 (1.8118)	
Epoch: [2][125/360]	Time 0.156 (0.157)	Data 0.016 (0.017)	Loss 12.2851 (29.0365)	Count-loss 1.2463 (1.7599)	
Epoch: [2][130/360]	Time 0.155 (0.157)	Data 0.016 (0.017)	Loss 18.7273 (29.1110)	Count-loss 0.0670 (1.7344)	
